1,The Night Owl,200 N Harbor Blvd,Fullerton,CA,92832,(714) 525-0305,thenightowlfullerton.com,4.2
2,Keane,13681 Newport Ave Ste 14,Tustin,CA,92780,(714) 838-5326,keancoffee.com,3.5
3,The Lost Bean,13011 Newport Ave,Tustin,CA,92780,(714) 544-2584,www.thelostbean.com,3.5
4,Portola Coffee Lab,3313 Hyland Ave,Costa Mesa,CA,92626,(949) 284-0596,portolacoffeelab.com,2
5,Paradise Perks,15475 Jeffrey Rd,Irvine,CA,92618,(949) 653-0387,paradiseperks.com,3
6,Cafe Lucca,106 N Glassell St,Orange,CA,92866,(714) 289-1255,cafelucca.com,3
7,Intelligentsia Coffee,3922 W Sunset Blvd,Silver Lake,CA,90029,(323) 663-6173,intelligentsiacoffee.com,2
8,Urth Caffe,594 E Colorado Blvd,Pasadena,CA,91101,(626) 844-4644,urthcaffe.com,4
9,Stumptown Coffee,806 S Santa Fe Ave,Los Angeles,CA,90021,(213) 337-0936,stumptowncoffee.com,3
10,Kaffa,424 S Main St Ste K,Orange,CA,92868,(714) 978-1992,kaffainc.com,5
